Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Brandon Miller,CHA,CLE,CHA vs. CLE,FGA,20.5,2026-02-20
LaMelo Ball,CHA,CLE,CHA vs. CLE,FGA,17.5,2026-02-20
James Harden,CLE,CHA,CLE vs. CHA,FGA,14.5,2026-02-20
Brice Sensabaugh,UTA,MEM,UTA vs. MEM,FGA,15.5,2026-02-20
Jarace Walker,IND,WAS,IND vs. WAS,FGA,14.5,2026-02-20
Norman Powell,MIA,ATL,MIA vs. ATL,FGA,15.5,2026-02-20
Bam Adebayo,MIA,ATL,MIA vs. ATL,FGA,14.5,2026-02-20
Anthony Edwards,MIN,DAL,MIN vs. DAL,FGA,20.5,2026-02-20
Brandon Williams,DAL,MIN,DAL vs. MIN,FGA,14.5,2026-02-20
Kevin Porter Jr.,MIL,NOP,MIL vs. NOP,FGA,15.5,2026-02-20
Ryan Rollins,MIL,NOP,MIL vs. NOP,FGA,16.5,2026-02-20
Kawhi Leonard,LAC,LAL,LAC vs. LAL,FGA,21.5,2026-02-20
LeBron James,LAL,LAC,LAL vs. LAC,FGA,14.5,2026-02-20
Jamal Murray,DEN,POR,DEN vs. POR,FGA,18.5,2026-02-20
Donovan Mitchell,CLE,CHA,CLE vs. CHA,FGA,19.5,2026-02-20
Kon Knueppel,CHA,CLE,CHA vs. CLE,FGA,14.5,2026-02-20
Ace Bailey,UTA,MEM,UTA vs. MEM,FGA,16.5,2026-02-20
GG Jackson,MEM,UTA,MEM vs. UTA,FGA,14.5,2026-02-20
Jalen Johnson,ATL,MIA,ATL vs. MIA,FGA,18.5,2026-02-20
CJ McCollum,ATL,MIA,ATL vs. MIA,FGA,15.5,2026-02-20
Nickeil Alexander-Walker,ATL,MIA,ATL vs. MIA,FGA,14.5,2026-02-20
Julius Randle,MIN,DAL,MIN vs. DAL,FGA,14.5,2026-02-20
Michael Porter Jr.,BKN,OKC,BKN vs. OKC,FGA,17.5,2026-02-20
Saddiq Bey,NOP,MIL,NOP vs. MIL,FGA,15.5,2026-02-20
Zion Williamson,NOP,MIL,NOP vs. MIL,FGA,14.5,2026-02-20
Luka Doncic,LAL,LAC,LAL vs. LAC,FGA,20.5,2026-02-20
Nikola Jokic,DEN,POR,DEN vs. POR,FGA,20.5,2026-02-20
Deni Avdija,POR,DEN,POR vs. DEN,FGA,15.5,2026-02-20
